match_no,inningno,ballnumber,over,outcome,batter,bowler,comment,BattingTeam
1,1,43,6.6,0,Ruturaj Gaikwad,Hardik Pandya,"Hardik Pandya to Ruturaj Gaikwad, no run,",Chennai Super Kings
1,1,44,7.1,1,Ben S,Rashid Khan,"Rashid Khan to Ben Stokes, 1 run,",Chennai Super Kings
1,1,45,7.2,1,Ruturaj Gaikwad,Rashid Khan,"Rashid Khan to Ruturaj Gaikwad, 1 run,",Chennai Super Kings
1,1,46,7.3,4,Ben S,Rashid Khan,"Rashid Khan to Ben Stokes, Four,",Chennai Super Kings
1,1,47,7.4,w,Ben S,Rashid Khan,"Rashid Khan to Ben Stokes, no run,                           Wicket - c Wriddhiman Saha b Rashid Khan batsmen out 7(6)",Chennai Super Kings
1,1,48,7.5,1,Ambati Rayudu,Rashid Khan,"Rashid Khan to Ambati Rayudu, 1 run,",Chennai Super Kings
1,1,49,7.6,1,Ruturaj Gaikwad,Rashid Khan,"Rashid Khan to Ruturaj Gaikwad, 1 run,",Chennai Super Kings
1,1,50,8.1,6,Ruturaj Gaikwad,Alzarri Joseph,"Alzarri Joseph to Ruturaj Gaikwad, Six,",Chennai Super Kings
1,1,51,8.2,0,Ruturaj Gaikwad,Alzarri Joseph,"Alzarri Joseph to Ruturaj Gaikwad, no run,",Chennai Super Kings
1,1,52,8.3,0,Ruturaj Gaikwad,Alzarri Joseph,"Alzarri Joseph to Ruturaj Gaikwad, no run,",Chennai Super Kings
1,1,53,8.4,6,Ruturaj Gaikwad,Alzarri Joseph,"Alzarri Joseph to Ruturaj Gaikwad, Six,",Chennai Super Kings
1,1,54,8.5,0,Ruturaj Gaikwad,Alzarri Joseph,"Alzarri Joseph to Ruturaj Gaikwad, no run,",Chennai Super Kings
1,1,55,8.6,6,Ruturaj Gaikwad,Alzarri Joseph,"Alzarri Joseph to Ruturaj Gaikwad, Six,",Chennai Super Kings
1,1,56,9.1,0,Ambati Rayudu,Rashid Khan,"Rashid Khan to Ambati Rayudu, no run,",Chennai Super Kings
1,1,57,9.2,1,Ambati Rayudu,Rashid Khan,"Rashid Khan to Ambati Rayudu, 1 run,",Chennai Super Kings
